school_name,state,size,admission_rate,pell_grant_rate,median_debt,cost_of_attendance,net_price_0_30k,net_price_30_48k,net_price_48_75k,net_price_75_110k,net_price_110k_plus,par_q1,par_top1pc,par_median,mobility_rate
Michigan State University,MI,40922,0.848,0.2009,23250,32198,7068,10830,16521,22703,28546,4.0914698,2.4786017,120400,1.3878376
Baylor University,TX,14785,0.5128,0.1245,23000,74226,22024,21530,33902,38852,47895,4.0205302,5.9036355,132400,1.3736501
University of Delaware,DE,19071,0.706,0.1612,24572,30952,10901,10099,13225,17401,25580,2.2330892,2.9069221,131400,.87063462
Fordham University,NY,10512,0.5931,0.2142,24300,82762,32474,31657,37313,42030,52228,7.6365905,4.7085629,113300,3.9781969
Virginia Polytechnic Institute and State University,VA,30923,0.5478,0.1529,21500,36951,11689,11670,17894,25835,34201,2.8448775,2.2486658,123300,1.3518651
North Carolina State University at Raleigh,NC,27371,0.4174,0.1958,20121,26425,6382,8758,13334,20087,24652,4.2567463,2.238378,111400,1.3513585
University of Massachusetts-Amherst,MA,23671,0.5973,0.1994,22763,34549,10164,10456,12932,18964,30793,5.7736897,1.1134545,100000,2.0928268
Colorado School of Mines,CO,6155,0.6069,0.1357,23000,40560,16849,18162,22192,28183,35112,3.889935,1.4936082,111500,2.4911637
University of Iowa,IA,22264,0.8362,0.1835,22500,28596,15316,15489,19930,23811,26266,3.1409197,3.1133361,114700,1.0060681
University of California-Riverside,CA,22593,0.7639,0.4695,17500,38942,8852,9840,13111,16571,30393,14.668724,.8581109,75000,6.01723
Stony Brook University,NY,18101,0.4904,0.3944,18228,30539,12943,15432,20728,23424,27716,8.2645531,1.8353353,86800,2.1008391
University at Buffalo,NY,20112,0.7418,0.3313,19000,30785,14668,16585,21262,24117,28079,6.0965686,2.7280812,106100,2.6087112
Binghamton University,NY,14655,0.3861,0.2812,18500,30345,12171,15281,20347,23533,28475,9.4252949,.64435375,104400,5.0876303
The University of Alabama,AL,33227,0.7665,0.184,22750,33382,19169,19884,22258,25658,26729,6.4959636,3.2817471,106100,1.6160508
The University of Tennessee-Knoxville,TN,30418,0.416,0.1889,20500,33678,10029,12162,18206,23627,25688,5.024559,2.0798163,96700,1.1167427
University of South Carolina-Columbia,SC,29820,0.6015,0.1911,21500,31638,12634,14953,19859,24478,28125,9.3693409,1.1948984,85400,1.6827494
Auburn University,AL,26816,0.4592,0.1253,21000,34919,16681,17627,20558,25808,29547,3.3321195,4.8533926,123200,1.0658238
University of Colorado Boulder,CO,31939,0.7808,0.1449,19500,37684,14231,14381,18828,26915,34818,3.7007682,8.2355862,128200,1.2256199
Arizona State University Campus Immersion,AZ,64674,0.8989,0.2899,19500,30111,9070,10711,16801,20130,24296,12.116247,.85602051,83300,4.7993155
University of Arizona,AZ,42537,0.8614,0.257,19620,29423,13353,14984,16051,19777,22307,8.4329567,.50102508,74300,1.2058979
Washington University in St Louis,MO,7857,0.1206,0.1775,17500,88488,1716,1928,5578,12603,42170,1.9383473,14.692436,180200,1.037176
Drexel University,PA,13233,0.7944,0.2676,25325,76835,28055,29435,34970,37842,48089,4.0804567,7.2175579,140400,2.3058069
Marquette University,WI,7660,0.8134,0.1839,23940,66768,22269,18916,27378,32374,36813,2.7533338,5.4979477,124800,1.1462464
Loyola University Chicago,IL,11737,0.816,0.2375,24157,67408,28992,28663,32432,36853,42346,8.187808,3.7387304,98600,3.0813236
DePaul University,IL,14090,0.7589,0.3178,23168,63052,27359,25950,28687,31057,37092,6.6376405,4.6285467,99900,2.8553517
Howard University,DC,10108,0.4134,0.4,24500,54630,46051,47477,50245,52981,54270,10.792967,.42792594,76900,4.0040045
Texas Christian University,TX,11026,0.4449,0.1432,21500,76604,17956,16980,17940,34990,53450,2.7070837,8.5260782,142700,1.0120558
Southern Methodist University,TX,7277,0.6335,0.1276,19500,85606,23544,20038,24152,33477,58213,4.4499464,20.762009,176400,1.7678505
